Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2006 12:00:00 AM,Western,M,50 to 59,"15,847","1,586",10.01
01/01/2006 12:00:00 AM,Western,M,60 to 69,"11,539","2,364",20.49
01/01/2006 12:00:00 AM,Western,M,70 to 79,"7,061","2,406",34.07
01/01/2006 12:00:00 AM,Western,M,80 +,"3,886","1,690",43.49
01/01/2007 12:00:00 AM,Central,F,20 to 29,"25,666",53,0.21
01/01/2007 12:00:00 AM,Central,F,30 to 39,"28,473",125,0.44
01/01/2007 12:00:00 AM,Central,F,40 to 49,"33,352",588,1.76
01/01/2007 12:00:00 AM,Central,F,50 to 59,"27,916","1,546",5.54
01/01/2007 12:00:00 AM,Central,F,60 to 69,"18,623","2,373",12.74
01/01/2007 12:00:00 AM,Central,F,70 to 79,"11,507","2,640",22.94
01/01/2007 12:00:00 AM,Central,F,80 +,"9,594","3,026",31.54
01/01/2007 12:00:00 AM,Central,M,20 to 29,"24,866",62,0.25
01/01/2007 12:00:00 AM,Central,M,30 to 39,"26,160",174,0.67
01/01/2007 12:00:00 AM,Central,M,40 to 49,"31,446","1,012",3.22
01/01/2007 12:00:00 AM,Central,M,50 to 59,"26,601","2,580",9.7
01/01/2007 12:00:00 AM,Central,M,60 to 69,"17,445","3,768",21.6
01/01/2007 12:00:00 AM,Central,M,70 to 79,"9,706","3,492",35.98
01/01/2007 12:00:00 AM,Central,M,80 +,"4,950","2,208",44.61
01/01/2007 12:00:00 AM,Eastern,F,20 to 29,"8,028",17,0.21
01/01/2007 12:00:00 AM,Eastern,F,30 to 39,"9,261",33,0.36
01/01/2007 12:00:00 AM,Eastern,F,40 to 49,"12,836",208,1.62
01/01/2007 12:00:00 AM,Eastern,F,50 to 59,"13,590",749,5.51
01/01/2007 12:00:00 AM,Eastern,F,60 to 69,"10,062","1,259",12.51
01/01/2007 12:00:00 AM,Eastern,F,70 to 79,"6,547","1,456",22.24
01/01/2007 12:00:00 AM,Eastern,F,80 +,"5,517","1,869",33.88
01/01/2007 12:00:00 AM,Eastern,M,20 to 29,"8,321",24,0.29
01/01/2007 12:00:00 AM,Eastern,M,30 to 39,"9,088",56,0.62
01/01/2007 12:00:00 AM,Eastern,M,40 to 49,"12,329",396,3.21
01/01/2007 12:00:00 AM,Eastern,M,50 to 59,"13,619","1,455",10.68
01/01/2007 12:00:00 AM,Eastern,M,60 to 69,"9,963","2,225",22.33
01/01/2007 12:00:00 AM,Eastern,M,70 to 79,"5,581","1,906",34.15
01/01/2007 12:00:00 AM,Eastern,M,80 +,"2,894","1,281",44.26
01/01/2007 12:00:00 AM,Northern,F,20 to 29,"7,823",26,0.33
01/01/2007 12:00:00 AM,Northern,F,30 to 39,"9,525",52,0.55
01/01/2007 12:00:00 AM,Northern,F,40 to 49,"12,133",204,1.68
01/01/2007 12:00:00 AM,Northern,F,50 to 59,"11,890",649,5.46
01/01/2007 12:00:00 AM,Northern,F,60 to 69,"8,603","1,156",13.44
01/01/2007 12:00:00 AM,Northern,F,70 to 79,"5,540","1,261",22.76
01/01/2007 12:00:00 AM,Northern,F,80 +,"4,873","1,642",33.7
01/01/2007 12:00:00 AM,Northern,M,20 to 29,"7,757",22,0.28
01/01/2007 12:00:00 AM,Northern,M,30 to 39,"9,241",74,0.8
01/01/2007 12:00:00 AM,Northern,M,40 to 49,"11,782",401,3.4
01/01/2007 12:00:00 AM,Northern,M,50 to 59,"11,947","1,225",10.25
01/01/2007 12:00:00 AM,Northern,M,60 to 69,"8,615","1,912",22.19
01/01/2007 12:00:00 AM,Northern,M,70 to 79,"4,854","1,696",34.94
01/01/2007 12:00:00 AM,Northern,M,80 +,"2,626","1,178",44.86
01/01/2007 12:00:00 AM,Unknown,F,20 to 29,"10,959",15,0.14
01/01/2007 12:00:00 AM,Unknown,F,30 to 39,"7,658",16,0.21
01/01/2007 12:00:00 AM,Unknown,F,40 to 49,"6,499",60,0.92
01/01/2007 12:00:00 AM,Unknown,F,50 to 59,"5,102",209,4.1
01/01/2007 12:00:00 AM,Unknown,F,60 to 69,"3,313",336,10.14
01/01/2007 12:00:00 AM,Unknown,F,70 to 79,"1,789",353,19.73
01/01/2007 12:00:00 AM,Unknown,F,80 +,"1,625",461,28.37
01/01/2007 12:00:00 AM,Unknown,M,20 to 29,"10,307",17,0.16
01/01/2007 12:00:00 AM,Unknown,M,30 to 39,"7,043",35,0.5
