Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2012 12:00:00 AM,Northern,F,65 to 74,"8,339","1,965",23.56
01/01/2012 12:00:00 AM,Northern,F,75 +,"7,712","2,254",29.23
01/01/2012 12:00:00 AM,Northern,M,35 to 44,"9,827",152,1.55
01/01/2012 12:00:00 AM,Northern,M,45 to 54,"12,084",833,6.89
01/01/2012 12:00:00 AM,Northern,M,55 to 64,"11,976","1,731",14.45
01/01/2012 12:00:00 AM,Northern,M,65 to 74,"8,177","1,826",22.33
01/01/2012 12:00:00 AM,Northern,M,75 +,"5,298","1,810",34.16
01/01/2012 12:00:00 AM,Unknown,F,35 to 44,"5,460",85,1.56
01/01/2012 12:00:00 AM,Unknown,F,45 to 54,"5,211",303,5.81
01/01/2012 12:00:00 AM,Unknown,F,55 to 64,"4,247",422,9.94
01/01/2012 12:00:00 AM,Unknown,F,65 to 74,"2,693",429,15.93
01/01/2012 12:00:00 AM,Unknown,F,75 +,"2,206",500,22.67
01/01/2012 12:00:00 AM,Unknown,M,35 to 44,"5,147",68,1.32
01/01/2012 12:00:00 AM,Unknown,M,45 to 54,"4,955",222,4.48
01/01/2012 12:00:00 AM,Unknown,M,55 to 64,"3,790",332,8.76
01/01/2012 12:00:00 AM,Unknown,M,65 to 74,"2,406",364,15.13
01/01/2012 12:00:00 AM,Unknown,M,75 +,"1,529",389,25.44
01/01/2012 12:00:00 AM,Western,F,35 to 44,"12,463",283,2.27
01/01/2012 12:00:00 AM,Western,F,45 to 54,"17,116","1,438",8.4
01/01/2012 12:00:00 AM,Western,F,55 to 64,"16,912","2,224",13.15
01/01/2012 12:00:00 AM,Western,F,65 to 74,"12,230","2,235",18.27
01/01/2012 12:00:00 AM,Western,F,75 +,"11,139","2,521",22.63
01/01/2012 12:00:00 AM,Western,M,35 to 44,"11,962",248,2.07
01/01/2012 12:00:00 AM,Western,M,45 to 54,"16,472","1,219",7.4
01/01/2012 12:00:00 AM,Western,M,55 to 64,"16,521","2,185",13.23
01/01/2012 12:00:00 AM,Western,M,65 to 74,"11,778","2,320",19.7
