Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2000 12:00:00 AM,Western,M,80 +,"3,440","1,652",48.02
01/01/2001 12:00:00 AM,Central,F,20 to 29,"23,533",326,1.39
01/01/2001 12:00:00 AM,Central,F,30 to 39,"29,177","1,463",5.01
01/01/2001 12:00:00 AM,Central,F,40 to 49,"30,288","3,492",11.53
01/01/2001 12:00:00 AM,Central,F,50 to 59,"22,571","6,346",28.12
01/01/2001 12:00:00 AM,Central,F,60 to 69,"13,941","6,738",48.33
01/01/2001 12:00:00 AM,Central,F,70 to 79,"11,226","7,162",63.8
01/01/2001 12:00:00 AM,Central,F,80 +,"8,302","5,722",68.92
01/01/2001 12:00:00 AM,Central,M,20 to 29,"22,276",272,1.22
01/01/2001 12:00:00 AM,Central,M,30 to 39,"26,681","1,198",4.49
01/01/2001 12:00:00 AM,Central,M,40 to 49,"28,299","3,250",11.48
01/01/2001 12:00:00 AM,Central,M,50 to 59,"21,391","5,494",25.68
01/01/2001 12:00:00 AM,Central,M,60 to 69,"13,065","5,673",43.42
01/01/2001 12:00:00 AM,Central,M,70 to 79,"8,454","4,844",57.3
01/01/2001 12:00:00 AM,Central,M,80 +,"4,085","2,434",59.58
01/01/2001 12:00:00 AM,Eastern,F,20 to 29,"8,406",168,2
01/01/2001 12:00:00 AM,Eastern,F,30 to 39,"10,821",732,6.76
01/01/2001 12:00:00 AM,Eastern,F,40 to 49,"13,904","2,197",15.8
01/01/2001 12:00:00 AM,Eastern,F,50 to 59,"11,806","3,946",33.42
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,"8,076","4,096",50.72
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,"6,309","4,099",64.97
01/01/2001 12:00:00 AM,Eastern,F,80 +,"5,382","3,636",67.56
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,"8,334",137,1.64
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,"10,551",606,5.74
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,"13,608","1,976",14.52
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,"12,161","3,482",28.63
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,"7,872","3,496",44.41
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,"5,139","2,929",57
01/01/2001 12:00:00 AM,Eastern,M,80 +,"2,734","1,589",58.12
01/01/2001 12:00:00 AM,Northern,F,20 to 29,"8,286",161,1.94
01/01/2001 12:00:00 AM,Northern,F,30 to 39,"10,577",658,6.22
01/01/2001 12:00:00 AM,Northern,F,40 to 49,"12,314","1,840",14.94
01/01/2001 12:00:00 AM,Northern,F,50 to 59,"10,070","3,276",32.53
01/01/2001 12:00:00 AM,Northern,F,60 to 69,"6,655","3,356",50.43
01/01/2001 12:00:00 AM,Northern,F,70 to 79,"5,511","3,585",65.05
01/01/2001 12:00:00 AM,Northern,F,80 +,"4,554","3,168",69.57
01/01/2001 12:00:00 AM,Northern,M,20 to 29,"8,113",121,1.49
01/01/2001 12:00:00 AM,Northern,M,30 to 39,"10,363",635,6.13
01/01/2001 12:00:00 AM,Northern,M,40 to 49,"12,008","1,664",13.86
01/01/2001 12:00:00 AM,Northern,M,50 to 59,"10,388","2,949",28.39
01/01/2001 12:00:00 AM,Northern,M,60 to 69,"6,522","2,896",44.4
01/01/2001 12:00:00 AM,Northern,M,70 to 79,"4,370","2,441",55.86
01/01/2001 12:00:00 AM,Northern,M,80 +,"2,323","1,436",61.82
01/01/2001 12:00:00 AM,Unknown,F,20 to 29,"12,168",118,0.97
01/01/2001 12:00:00 AM,Unknown,F,30 to 39,"9,849",316,3.21
01/01/2001 12:00:00 AM,Unknown,F,40 to 49,"7,224",682,9.44
01/01/2001 12:00:00 AM,Unknown,F,50 to 59,"4,862","1,220",25.09
01/01/2001 12:00:00 AM,Unknown,F,60 to 69,"2,846","1,188",41.74
01/01/2001 12:00:00 AM,Unknown,F,70 to 79,"2,208","1,326",60.05
01/01/2001 12:00:00 AM,Unknown,F,80 +,"1,638","1,056",64.47
01/01/2001 12:00:00 AM,Unknown,M,20 to 29,"12,169",122,1
01/01/2001 12:00:00 AM,Unknown,M,30 to 39,"9,012",337,3.74
01/01/2001 12:00:00 AM,Unknown,M,40 to 49,"6,831",650,9.52
01/01/2001 12:00:00 AM,Unknown,M,50 to 59,"4,661","1,047",22.46
01/01/2001 12:00:00 AM,Unknown,M,60 to 69,"2,751","1,039",37.77
01/01/2001 12:00:00 AM,Unknown,M,70 to 79,"1,565",747,47.73
01/01/2001 12:00:00 AM,Unknown,M,80 +,791,409,51.71
01/01/2001 12:00:00 AM,Western,F,20 to 29,"10,088",208,2.06
01/01/2001 12:00:00 AM,Western,F,30 to 39,"13,901",786,5.65
01/01/2001 12:00:00 AM,Western,F,40 to 49,"16,752","2,067",12.34
01/01/2001 12:00:00 AM,Western,F,50 to 59,"14,302","4,250",29.72
01/01/2001 12:00:00 AM,Western,F,60 to 69,"9,580","4,498",46.95
01/01/2001 12:00:00 AM,Western,F,70 to 79,"7,548","4,637",61.43
01/01/2001 12:00:00 AM,Western,F,80 +,"6,201","3,945",63.62
01/01/2001 12:00:00 AM,Western,M,20 to 29,"10,038",121,1.21
01/01/2001 12:00:00 AM,Western,M,30 to 39,"13,346",630,4.72
01/01/2001 12:00:00 AM,Western,M,40 to 49,"16,202","1,929",11.91
01/01/2001 12:00:00 AM,Western,M,50 to 59,"14,237","3,570",25.08
01/01/2001 12:00:00 AM,Western,M,60 to 69,"9,581","3,769",39.34
01/01/2001 12:00:00 AM,Western,M,70 to 79,"6,431","3,256",50.63
01/01/2001 12:00:00 AM,Western,M,80 +,"3,524","1,840",52.21
01/01/2002 12:00:00 AM,Central,F,20 to 29,"23,760",341,1.44
01/01/2002 12:00:00 AM,Central,F,30 to 39,"28,856","1,490",5.16
01/01/2002 12:00:00 AM,Central,F,40 to 49,"31,289","3,837",12.26
01/01/2002 12:00:00 AM,Central,F,50 to 59,"23,449","6,822",29.09
01/01/2002 12:00:00 AM,Central,F,60 to 69,"14,443","7,192",49.8
01/01/2002 12:00:00 AM,Central,F,70 to 79,"11,242","7,410",65.91
01/01/2002 12:00:00 AM,Central,F,80 +,"8,555","6,107",71.39
01/01/2002 12:00:00 AM,Central,M,20 to 29,"22,578",299,1.32
01/01/2002 12:00:00 AM,Central,M,30 to 39,"26,319","1,250",4.75
01/01/2002 12:00:00 AM,Central,M,40 to 49,"29,334","3,473",11.84
01/01/2002 12:00:00 AM,Central,M,50 to 59,"22,282","6,062",27.21
01/01/2002 12:00:00 AM,Central,M,60 to 69,"13,524","6,089",45.02
01/01/2002 12:00:00 AM,Central,M,70 to 79,"8,663","5,142",59.36
01/01/2002 12:00:00 AM,Central,M,80 +,"4,268","2,665",62.44
01/01/2002 12:00:00 AM,Eastern,F,20 to 29,"8,278",177,2.14
01/01/2002 12:00:00 AM,Eastern,F,30 to 39,"10,419",755,7.25
01/01/2002 12:00:00 AM,Eastern,F,40 to 49,"13,969","2,308",16.52
01/01/2002 12:00:00 AM,Eastern,F,50 to 59,"12,189","4,251",34.88
01/01/2002 12:00:00 AM,Eastern,F,60 to 69,"8,274","4,387",53.02
01/01/2002 12:00:00 AM,Eastern,F,70 to 79,"6,318","4,256",67.36
01/01/2002 12:00:00 AM,Eastern,F,80 +,"5,448","3,902",71.62
01/01/2002 12:00:00 AM,Eastern,M,20 to 29,"8,302",136,1.64
01/01/2002 12:00:00 AM,Eastern,M,30 to 39,"10,177",626,6.15
01/01/2002 12:00:00 AM,Eastern,M,40 to 49,"13,537","2,055",15.18
01/01/2002 12:00:00 AM,Eastern,M,50 to 59,"12,528","3,794",30.28
01/01/2002 12:00:00 AM,Eastern,M,60 to 69,"8,112","3,782",46.62
01/01/2002 12:00:00 AM,Eastern,M,70 to 79,"5,208","3,098",59.49
01/01/2002 12:00:00 AM,Eastern,M,80 +,"2,738","1,713",62.56
01/01/2002 12:00:00 AM,Northern,F,20 to 29,"8,154",175,2.15
01/01/2002 12:00:00 AM,Northern,F,30 to 39,"10,312",695,6.74
01/01/2002 12:00:00 AM,Northern,F,40 to 49,"12,446","1,956",15.72
01/01/2002 12:00:00 AM,Northern,F,50 to 59,"10,377","3,478",33.52
01/01/2002 12:00:00 AM,Northern,F,60 to 69,"6,888","3,633",52.74
01/01/2002 12:00:00 AM,Northern,F,70 to 79,"5,522","3,726",67.48
01/01/2002 12:00:00 AM,Northern,F,80 +,"4,608","3,339",72.46
01/01/2002 12:00:00 AM,Northern,M,20 to 29,"7,968",125,1.57
01/01/2002 12:00:00 AM,Northern,M,30 to 39,"10,194",686,6.73
01/01/2002 12:00:00 AM,Northern,M,40 to 49,"12,069","1,799",14.91
01/01/2002 12:00:00 AM,Northern,M,50 to 59,"10,630","3,165",29.77
01/01/2002 12:00:00 AM,Northern,M,60 to 69,"6,819","3,159",46.33
01/01/2002 12:00:00 AM,Northern,M,70 to 79,"4,435","2,641",59.55
01/01/2002 12:00:00 AM,Northern,M,80 +,"2,382","1,539",64.61
01/01/2002 12:00:00 AM,Unknown,F,20 to 29,"11,948",120,1
01/01/2002 12:00:00 AM,Unknown,F,30 to 39,"9,497",337,3.55
01/01/2002 12:00:00 AM,Unknown,F,40 to 49,"7,259",726,10
